url,Perfume,Brand,Country,Gender_notes,Rating Value_notes,Rating Count_notes,Year,Top,Middle,Base,Perfumer1,Perfumer2,mainaccord1,mainaccord2,mainaccord3,mainaccord4,mainaccord5,Name,Gender_desc,Rating Value_desc,Rating Count_desc,Main Accords,Perfumers,Description,Combined_Notes,Description_Source,Notes_Clean,Description_Clean,Brand_Clean
https://www.fragrantica.com/perfume/biehl-parfumkunstwerke/mb01-6132.html,mb01,biehl-parfumkunstwerke,Germany,unisex,"3,42",125,2007.0,"black currant, mimosa, bergamot","champaca, gardenia, tuberose, jasmine","sandalwood, musk, amber",mark buxton,,white floral,floral,powdery,woody,tuberose,mb01 biehl parfumkunstwerkefor women and men,for women and men,3.42,125,"['white floral', 'floral', 'powdery', 'woody', 'tuberose', 'fruity', 'sweet', 'animalic', 'yellow floral', 'green']",['Mark Buxton'],"mb01bybiehl parfumkunstwerkeis a Floral fragrance for women and men.mb01was launched in 2007. The nose behind this fragrance is Mark Buxton. Top notes are Black Currant, Mimosa and Bergamot; middle notes are Champaca, Gardenia, Tuberose and Jasmine; base notes are Sandalwood, Musk and Amber.","black currant, mimosa, bergamot, champaca, gardenia, tuberose, jasmine, sandalwood, musk, amber","mb01bybiehl parfumkunstwerkeis a Floral fragrance for women and men.mb01was launched in 2007. The nose behind this fragrance is Mark Buxton. Top notes are Black Currant, Mimosa and Bergamot; middle notes are Champaca, Gardenia, Tuberose and Jasmine; base notes are Sandalwood, Musk and Amber.","black currant, mimosa, bergamot, champaca, gardenia, tuberose, jasmine, sandalwood, musk, amber","mb01bybiehl parfumkunstwerkeis a floral fragrance for women and men.mb01was launched in 2007. the nose behind this fragrance is mark buxton. top notes are black currant, mimosa and bergamot; middle notes are champaca, gardenia, tuberose and jasmine; base notes are sandalwood, musk and amber.",Biehl-Parfumkunstwerke
https://www.fragrantica.com/perfume/biehl-parfumkunstwerke/hb01-6131.html,hb01,biehl-parfumkunstwerke,Germany,unisex,"3,57",98,2007.0,"african orange flower, peach, black currant, green notes, bergamot","jasmine, tuberose, ylang-ylang, iris, lily-of-the-valley, rose","vanilla, musk, sandalwood, virginia cedar",henning biehl,,white floral,sweet,woody,fruity,tuberose,hb01 biehl parfumkunstwerkefor women and men,for women and men,3.57,98,"['white floral', 'sweet', 'woody', 'fruity', 'tuberose', 'powdery', 'green', 'yellow floral', 'citrus', 'animalic']",['Henning Biehl'],"hb01bybiehl parfumkunstwerkeis a Floral fragrance for women and men.hb01was launched in 2007. The nose behind this fragrance is Henning Biehl. Top notes are African Orange Flower, Peach, Black Currant, Green Notes and Bergamot; middle notes are Jasmine, Tuberose, Ylang-Ylang, Iris, Lily-of-the-Valley and Rose; base notes are Vanilla, Musk, Sandalwood and Virginia Cedar.","african orange flower, peach, black currant, green notes, bergamot, jasmine, tuberose, ylang-ylang, iris, lily-of-the-valley, rose, vanilla, musk, sandalwood, virginia cedar","hb01bybiehl parfumkunstwerkeis a Floral fragrance for women and men.hb01was launched in 2007. The nose behind this fragrance is Henning Biehl. Top notes are African Orange Flower, Peach, Black Currant, Green Notes and Bergamot; middle notes are Jasmine, Tuberose, Ylang-Ylang, Iris, Lily-of-the-Valley and Rose; base notes are Vanilla, Musk, Sandalwood and Virginia Cedar.","african orange flower, peach, black currant, green notes, bergamot, jasmine, tuberose, ylang-ylang, iris, lily-of-the-valley, rose, vanilla, musk, sandalwood, virginia cedar","hb01bybiehl parfumkunstwerkeis a floral fragrance for women and men.hb01was launched in 2007. the nose behind this fragrance is henning biehl. top notes are african orange flower, peach, black currant, green notes and bergamot; middle notes are jasmine, tuberose, ylang-ylang, iris, lily-of-the-valley and rose; base notes are vanilla, musk, sandalwood and virginia cedar.",Biehl-Parfumkunstwerke
https://www.fragrantica.com/perfume/biehl-parfumkunstwerke/al01-6141.html,al01,biehl-parfumkunstwerke,Germany,unisex,"3,58",108,2007.0,"galbanum, pineapple, raspberry, peach, black currant, bergamot, basil","narcissus, violet, african orange flower, orchid, freesia, ylang-ylang, jasmine, gardenia, heliotrope, lily-of-the-valley","iris, musk, vetiver, oakmoss, sandalwood, amber",arturetto landi,,fruity,green,sweet,powdery,floral,al01 biehl parfumkunstwerkefor women and men,for women and men,3.58,108,"['fruity', 'green', 'sweet', 'powdery', 'floral', 'white floral', 'aromatic', 'woody', 'violet', 'yellow floral']",['Arturetto Landi'],"al01bybiehl parfumkunstwerkeis a Floral fragrance for women and men.al01was launched in 2007. The nose behind this fragrance is Arturetto Landi. Top notes are Galbanum, Pineapple, Raspberry, Peach, Black Currant, Bergamot and Basil; middle notes are Narcissus, Violet, African Orange Flower, Orchid, Freesia, Ylang-Ylang, Jasmine, Gardenia, Heliotrope and Lily-of-the-Valley; base notes are Iris, Musk, Vetiver, Oakmoss, Sandalwood and Amber.","galbanum, pineapple, raspberry, peach, black currant, bergamot, basil, narcissus, violet, african orange flower, orchid, freesia, ylang-ylang, jasmine, gardenia, heliotrope, lily-of-the-valley, iris, musk, vetiver, oakmoss, sandalwood, amber","al01bybiehl parfumkunstwerkeis a Floral fragrance for women and men.al01was launched in 2007. The nose behind this fragrance is Arturetto Landi. Top notes are Galbanum, Pineapple, Raspberry, Peach, Black Currant, Bergamot and Basil; middle notes are Narcissus, Violet, African Orange Flower, Orchid, Freesia, Ylang-Ylang, Jasmine, Gardenia, Heliotrope and Lily-of-the-Valley; base notes are Iris, Musk, Vetiver, Oakmoss, Sandalwood and Amber.","galbanum, pineapple, raspberry, peach, black currant, bergamot, basil, narcissus, violet, african orange flower, orchid, freesia, ylang-ylang, jasmine, gardenia, heliotrope, lily-of-the-valley, iris, musk, vetiver, oakmoss, sandalwood, amber","al01bybiehl parfumkunstwerkeis a floral fragrance for women and men.al01was launched in 2007. the nose behind this fragrance is arturetto landi. top notes are galbanum, pineapple, raspberry, peach, black currant, bergamot and basil; middle notes are narcissus, violet, african orange flower, orchid, freesia, ylang-ylang, jasmine, gardenia, heliotrope and lily-of-the-valley; base notes are iris, musk, vetiver, oakmoss, sandalwood and amber.",Biehl-Parfumkunstwerke
https://www.fragrantica.com/perfume/biehl-parfumkunstwerke/eo02-6139.html,eo02,biehl-parfumkunstwerke,Germany,unisex,"3,67",97,2007.0,"cardamom, bergamot, coriander, grapefruit, galbanum","fir, artemisia, jasmine, clove, rose, thyme","virginia cedar, sandalwood, vanilla, cinnamon, incense, musk, amber, patchouli",egon oelkers,,aromatic,woody,warm spicy,fresh spicy,citrus,eo02 biehl parfumkunstwerkefor women and men,for women and men,3.67,97,"['aromatic', 'woody', 'warm spicy', 'fresh spicy', 'citrus', 'powdery', 'herbal', 'balsamic', 'green', 'vanilla']",['Egon Oelkers'],"eo02bybiehl parfumkunstwerkeis a Aromatic Spicy fragrance for women and men.eo02was launched in 2007. The nose behind this fragrance is Egon Oelkers. Top notes are Cardamom, Bergamot, Coriander, Grapefruit and Galbanum; middle notes are Fir, Artemisia, Jasmine, Clove, Rose and Thyme; base notes are Virginia Cedar, Sandalwood, Vanilla, Cinnamon, Incense, Musk, Amber and Patchouli.","cardamom, bergamot, coriander, grapefruit, galbanum, fir, artemisia, jasmine, clove, rose, thyme, virginia cedar, sandalwood, vanilla, cinnamon, incense, musk, amber, patchouli","eo02bybiehl parfumkunstwerkeis a Aromatic Spicy fragrance for women and men.eo02was launched in 2007. The nose behind this fragrance is Egon Oelkers. Top notes are Cardamom, Bergamot, Coriander, Grapefruit and Galbanum; middle notes are Fir, Artemisia, Jasmine, Clove, Rose and Thyme; base notes are Virginia Cedar, Sandalwood, Vanilla, Cinnamon, Incense, Musk, Amber and Patchouli.","cardamom, bergamot, coriander, grapefruit, galbanum, fir, artemisia, jasmine, clove, rose, thyme, virginia cedar, sandalwood, vanilla, cinnamon, incense, musk, amber, patchouli","eo02bybiehl parfumkunstwerkeis a aromatic spicy fragrance for women and men.eo02was launched in 2007. the nose behind this fragrance is egon oelkers. top notes are cardamom, bergamot, coriander, grapefruit and galbanum; middle notes are fir, artemisia, jasmine, clove, rose and thyme; base notes are virginia cedar, sandalwood, vanilla, cinnamon, incense, musk, amber and patchouli.",Biehl-Parfumkunstwerke
https://www.fragrantica.com/perfume/biehl-parfumkunstwerke/eo03-6140.html,eo03,biehl-parfumkunstwerke,Germany,unisex,"3,67",105,2007.0,"peach, raspberry, african orange flower, green notes, neroli, pepper","tuberose, jasmine, violet, ylang-ylang, clove","almond, amber, elemi resin, sandalwood, musk, vetiver",egon oelkers,,white floral,fruity,sweet,tuberose,powdery,eo03 biehl parfumkunstwerkefor women and men,for women and men,3.67,105,"['white floral', 'fruity', 'sweet', 'tuberose', 'powdery', 'violet', 'green', 'animalic', 'woody', 'floral']",['Egon Oelkers'],"eo03bybiehl parfumkunstwerkeis a Floral fragrance for women and men.eo03was launched in 2007. The nose behind this fragrance is Egon Oelkers. Top notes are Peach, Raspberry, African Orange Flower, Green Notes, Neroli and Pepper; middle notes are Tuberose, Jasmine, Violet, Ylang-Ylang and Clove; base notes are Almond, Amber, Elemi resin, Sandalwood, Musk and Vetiver.","peach, raspberry, african orange flower, green notes, neroli, pepper, tuberose, jasmine, violet, ylang-ylang, clove, almond, amber, elemi resin, sandalwood, musk, vetiver","eo03bybiehl parfumkunstwerkeis a Floral fragrance for women and men.eo03was launched in 2007. The nose behind this fragrance is Egon Oelkers. Top notes are Peach, Raspberry, African Orange Flower, Green Notes, Neroli and Pepper; middle notes are Tuberose, Jasmine, Violet, Ylang-Ylang and Clove; base notes are Almond, Amber, Elemi resin, Sandalwood, Musk and Vetiver.","peach, raspberry, african orange flower, green notes, neroli, pepper, tuberose, jasmine, violet, ylang-ylang, clove, almond, amber, elemi resin, sandalwood, musk, vetiver","eo03bybiehl parfumkunstwerkeis a floral fragrance for women and men.eo03was launched in 2007. the nose behind this fragrance is egon oelkers. top notes are peach, raspberry, african orange flower, green notes, neroli and pepper; middle notes are tuberose, jasmine, violet, ylang-ylang and clove; base notes are almond, amber, elemi resin, sandalwood, musk and vetiver.",Biehl-Parfumkunstwerke
https://www.fragrantica.com/perfume/biehl-parfumkunstwerke/gs02-6144.html,gs02,biehl-parfumkunstwerke,Germany,unisex,"3,71",146,2007.0,"campari, wormwood, thyme, angelica, orange","leather, castoreum","amber, tonka bean, vanilla",geza schoen,,aromatic,amber,leather,musky,fresh spicy,gs02 biehl parfumkunstwerkefor women and men,for women and men,3.71,146,"['aromatic', 'amber', 'leather', 'musky', 'fresh spicy', 'animalic', 'smoky', 'powdery', 'vanilla', 'fruity']",['Geza Schoen'],"gs02bybiehl parfumkunstwerkeis a Leather fragrance for women and men.gs02was launched in 2007. The nose behind this fragrance is Geza Schoen. Top notes are Campari, Wormwood, Thyme, Angelica and Orange; middle notes are Leather and Castoreum; base notes are Amber, Tonka Bean and Vanilla.","campari, wormwood, thyme, angelica, orange, leather, castoreum, amber, tonka bean, vanilla","gs02bybiehl parfumkunstwerkeis a Leather fragrance for women and men.gs02was launched in 2007. The nose behind this fragrance is Geza Schoen. Top notes are Campari, Wormwood, Thyme, Angelica and Orange; middle notes are Leather and Castoreum; base notes are Amber, Tonka Bean and Vanilla.","campari, wormwood, thyme, angelica, orange, leather, castoreum, amber, tonka bean, vanilla","gs02bybiehl parfumkunstwerkeis a leather fragrance for women and men.gs02was launched in 2007. the nose behind this fragrance is geza schoen. top notes are campari, wormwood, thyme, angelica and orange; middle notes are leather and castoreum; base notes are amber, tonka bean and vanilla.",Biehl-Parfumkunstwerke
https://www.fragrantica.com/perfume/biehl-parfumkunstwerke/mb02-6133.html,mb02,biehl-parfumkunstwerke,Germany,unisex,"3,76",140,2007.0,"violet, tagetes, basil, bergamot","violet leaf, iris, carnation, french labdanum","benzoin, balsam fir, sandalwood, musk",mark buxton,,powdery,violet,woody,aromatic,fresh spicy,mb02 biehl parfumkunstwerkefor women and men,for women and men,3.76,140,"['powdery', 'violet', 'woody', 'aromatic', 'fresh spicy', 'amber', 'floral', 'ozonic', 'warm spicy', 'balsamic']",['Mark Buxton'],"mb02bybiehl parfumkunstwerkeis a Chypre fragrance for women and men.mb02was launched in 2007. The nose behind this fragrance is Mark Buxton. Top notes are Violet, Tagetes, Basil and Bergamot; middle notes are Violet Leaf, Iris, Carnation and French labdanum; base notes are Benzoin, Balsam Fir, Sandalwood and Musk.","violet, tagetes, basil, bergamot, violet leaf, iris, carnation, french labdanum, benzoin, balsam fir, sandalwood, musk","mb02bybiehl parfumkunstwerkeis a Chypre fragrance for women and men.mb02was launched in 2007. The nose behind this fragrance is Mark Buxton. Top notes are Violet, Tagetes, Basil and Bergamot; middle notes are Violet Leaf, Iris, Carnation and French labdanum; base notes are Benzoin, Balsam Fir, Sandalwood and Musk.","violet, tagetes, basil, bergamot, violet leaf, iris, carnation, french labdanum, benzoin, balsam fir, sandalwood, musk","mb02bybiehl parfumkunstwerkeis a chypre fragrance for women and men.mb02was launched in 2007. the nose behind this fragrance is mark buxton. top notes are violet, tagetes, basil and bergamot; middle notes are violet leaf, iris, carnation and french labdanum; base notes are benzoin, balsam fir, sandalwood and musk.",Biehl-Parfumkunstwerke
https://www.fragrantica.com/perfume/biehl-parfumkunstwerke/pc01-6135.html,pc01,biehl-parfumkunstwerke,Germany,unisex,"3,77",186,2007.0,"green notes, tangerine, neroli, artemisia","mango, peony, iris","vetiver, musk, kashmir wood",patricia choux,,green,citrus,fruity,tropical,floral,pc01 biehl parfumkunstwerkefor women and men,for women and men,3.77,186,"['green', 'citrus', 'fruity', 'tropical', 'floral', 'sweet', 'fresh', 'woody', 'aromatic', 'herbal']",['Patricia Choux'],"pc01bybiehl parfumkunstwerkeis a Floral Fruity fragrance for women and men.pc01was launched in 2007. The nose behind this fragrance is Patricia Choux. Top notes are Green Notes, Tangerine, Neroli and Artemisia; middle notes are Mango, Peony and Iris; base notes are Vetiver, Musk and Kashmir wood.","green notes, tangerine, neroli, artemisia, mango, peony, iris, vetiver, musk, kashmir wood","pc01bybiehl parfumkunstwerkeis a Floral Fruity fragrance for women and men.pc01was launched in 2007. The nose behind this fragrance is Patricia Choux. Top notes are Green Notes, Tangerine, Neroli and Artemisia; middle notes are Mango, Peony and Iris; base notes are Vetiver, Musk and Kashmir wood.","green notes, tangerine, neroli, artemisia, mango, peony, iris, vetiver, musk, kashmir wood","pc01bybiehl parfumkunstwerkeis a floral fruity fragrance for women and men.pc01was launched in 2007. the nose behind this fragrance is patricia choux. top notes are green notes, tangerine, neroli and artemisia; middle notes are mango, peony and iris; base notes are vetiver, musk and kashmir wood.",Biehl-Parfumkunstwerke
https://www.fragrantica.com/perfume/biehl-parfumkunstwerke/al03-19980.html,al03,biehl-parfumkunstwerke,Germany,unisex,"3,84",64,,"lime, bergamot, lavender, mint, gardenia, petitgrain, lemon, pineapple, peach","rosemary, star anise, artemisia, geranium, tarragon, nutmeg, carnation, iris, orchid, jasmine, rose, lily-of-the-valley","cedar, leather, vetiver, incense, patchouli, castoreum, labdanum, oakmoss, white musk, ambergris",arturetto landi,,aromatic,woody,fresh spicy,leather,amber,al03 biehl parfumkunstwerkefor women and men,for women and men,3.84,64,"['aromatic', 'woody', 'fresh spicy', 'leather', 'amber', 'citrus', 'smoky', 'earthy', 'warm spicy', 'animalic']",['Arturetto Landi'],"al03bybiehl parfumkunstwerkeis a Floral Woody Musk fragrance for women and men. The nose behind this fragrance is Arturetto Landi. Top notes are Lime, Bergamot, Lavender, Mint, Gardenia, Petitgrain, Lemon, Pineapple and Peach; middle notes are Rosemary, Star Anise, Artemisia, Geranium, Tarragon, Nutmeg, Carnation, Iris, Orchid, Jasmine, Rose and Lily-of-the-Valley; base notes are Cedar, Leather, Vetiver, Incense, Patchouli, Castoreum, Labdanum, Oakmoss, White Musk and Ambergris.","lime, bergamot, lavender, mint, gardenia, petitgrain, lemon, pineapple, peach, rosemary, star anise, artemisia, geranium, tarragon, nutmeg, carnation, iris, orchid, jasmine, rose, lily-of-the-valley, cedar, leather, vetiver, incense, patchouli, castoreum, labdanum, oakmoss, white musk, ambergris","al03bybiehl parfumkunstwerkeis a Floral Woody Musk fragrance for women and men. The nose behind this fragrance is Arturetto Landi. Top notes are Lime, Bergamot, Lavender, Mint, Gardenia, Petitgrain, Lemon, Pineapple and Peach; middle notes are Rosemary, Star Anise, Artemisia, Geranium, Tarragon, Nutmeg, Carnation, Iris, Orchid, Jasmine, Rose and Lily-of-the-Valley; base notes are Cedar, Leather, Vetiver, Incense, Patchouli, Castoreum, Labdanum, Oakmoss, White Musk and Ambergris.","lime, bergamot, lavender, mint, gardenia, petitgrain, lemon, pineapple, peach, rosemary, star anise, artemisia, geranium, tarragon, nutmeg, carnation, iris, orchid, jasmine, rose, lily-of-the-valley, cedar, leather, vetiver, incense, patchouli, castoreum, labdanum, oakmoss, white musk, ambergris","al03bybiehl parfumkunstwerkeis a floral woody musk fragrance for women and men. the nose behind this fragrance is arturetto landi. top notes are lime, bergamot, lavender, mint, gardenia, petitgrain, lemon, pineapple and peach; middle notes are rosemary, star anise, artemisia, geranium, tarragon, nutmeg, carnation, iris, orchid, jasmine, rose and lily-of-the-valley; base notes are cedar, leather, vetiver, incense, patchouli, castoreum, labdanum, oakmoss, white musk and ambergris.",Biehl-Parfumkunstwerke
https://www.fragrantica.com/perfume/biehl-parfumkunstwerke/gs01-6143.html,gs01,biehl-parfumkunstwerke,Germany,unisex,"3,85",121,2007.0,"basil, green notes, bay leaf, african orange flower, lime, pink pepper, grass, carrot seeds, magnolia","peach, freesia, water lily, artemisia, jasmine, rose","musk, rice, sandalwood, amber, vetiver, virginia cedar, guaiac wood, oakmoss",geza schoen,,green,fresh spicy,aromatic,floral,powdery,gs01 biehl parfumkunstwerkefor women and men,for women and men,3.85,121,"['green', 'fresh spicy', 'aromatic', 'floral', 'powdery', 'citrus', 'musky', 'sweet', 'white floral', 'woody']",['Geza Schoen'],"gs01bybiehl parfumkunstwerkeis a Chypre Fruity fragrance for women and men.gs01was launched in 2007. The nose behind this fragrance is Geza Schoen. Top notes are Basil, Green Notes, Bay Leaf, African Orange Flower, Lime, Pink Pepper, Grass, Carrot Seeds and Magnolia; middle notes are Peach, Freesia, Water Lily, Artemisia, Jasmine and Rose; base notes are Musk, Rice, Sandalwood, Amber, Vetiver, Virginia Cedar, Guaiac Wood and Oakmoss.","basil, green notes, bay leaf, african orange flower, lime, pink pepper, grass, carrot seeds, magnolia, peach, freesia, water lily, artemisia, jasmine, rose, musk, rice, sandalwood, amber, vetiver, virginia cedar, guaiac wood, oakmoss","gs01bybiehl parfumkunstwerkeis a Chypre Fruity fragrance for women and men.gs01was launched in 2007. The nose behind this fragrance is Geza Schoen. Top notes are Basil, Green Notes, Bay Leaf, African Orange Flower, Lime, Pink Pepper, Grass, Carrot Seeds and Magnolia; middle notes are Peach, Freesia, Water Lily, Artemisia, Jasmine and Rose; base notes are Musk, Rice, Sandalwood, Amber, Vetiver, Virginia Cedar, Guaiac Wood and Oakmoss.","basil, green notes, bay leaf, african orange flower, lime, pink pepper, grass, carrot seeds, magnolia, peach, freesia, water lily, artemisia, jasmine, rose, musk, rice, sandalwood, amber, vetiver, virginia cedar, guaiac wood, oakmoss","gs01bybiehl parfumkunstwerkeis a chypre fruity fragrance for women and men.gs01was launched in 2007. the nose behind this fragrance is geza schoen. top notes are basil, green notes, bay leaf, african orange flower, lime, pink pepper, grass, carrot seeds and magnolia; middle notes are peach, freesia, water lily, artemisia, jasmine and rose; base notes are musk, rice, sandalwood, amber, vetiver, virginia cedar, guaiac wood and oakmoss.",Biehl-Parfumkunstwerke
